ID,City,Country Code,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
0,albany,US,United States of America,1555618352,90,66,42.65,-73.75,285.93,6.7
1,chuy,UY,Uruguay,1555618604,83,63,-33.69,-53.46,295.3,2.29
2,mataura,NZ,Norway,1555618606,0,70,-46.19,168.86,282.6,2.62
3,belaya gora,RU,Romania,1555618607,84,79,68.54,146.19,259.1,5.28
4,alenquer,BR,Bouvet Island,1555617600,40,70,-1.95,-54.74,304.15,5.1
5,punta arenas,CL,China,1555618399,75,75,-53.16,-70.91,280.15,3.1
6,matagami,NG,New Zealand,1555618611,100,44,9.67,8.4,302.7,1.21
8,vanimo,PG,Peru,1555618614,100,78,-2.67,141.3,299.9,3.07
9,jamestown,au,Aruba,1555618347,18,42,-33.21,138.6,292.7,4.78
10,iralaya,HN,Heard and Mcdonald Islands,1555618617,24,47,15,-83.23,304.2,4.02
11,makakilo city,US,United States of America,1555618533,40,54,21.35,-158.09,301.15,3.6
12,hattiesburg,US,United States of America,1555618238,90,94,31.33,-89.29,297.15,4.1
13,coihaique,CL,China,1555617600,40,54,-45.58,-72.07,286.15,3.1
14,volkhov,RU,Romania,1555618399,7,95,59.92,32.34,272.04,0.79
15,gat,SN,Slovenia,1555615800,57,73,14.69,-16.54,294.15,9.3
19,san cristobal,EC,Dominican Republic,1555617600,75,64,-0.39,-78.55,294.15,8.2
22,coos bay,US,United States of America,1555618236,1,68,43.37,-124.22,297.04,3.6
23,saskylakh,RU,Romania,1555618635,23,80,71.97,114.09,250.9,2.44
24,celestun,MX,Mozambique,1555618636,0,71,20.87,-90.4,302,6.57
25,hilo,US,United States of America,1555618290,40,69,19.71,-155.08,297.59,3.6
26,kysyl-syr,RU,Romania,1555618638,81,90,63.9,122.77,261.1,3.55
27,walvis bay,NA,Myanmar,1555617728,0,76,-22.95,14.51,286.48,2.6
28,tuatapere,NZ,Norway,1555618641,17,76,-46.13,167.69,285.5,6.88
29,tiznit,MA,Luxembourg,1555618536,0,74,29.7,-9.73,290,15.99
30,hobart,au,Aruba,1555618455,20,87,-42.88,147.33,279.26,4.6
31,baijiantan,CN,China,1555618637,28,39,45.63,85.18,283.7,2.48
32,rikitea,PF,Peru,1555618646,36,74,-23.12,-134.97,299.1,1.57
33,tongzi,CN,China,1555618647,100,62,28.78,105.09,298.4,2.9
34,provideniya,RU,Romania,1555618648,0,59,64.42,-173.23,263.2,5.4
35,mareeba,au,Aruba,1555618399,75,83,-16.99,145.42,296.15,5.7
36,georgetown,GY,Guyana,1555617600,75,79,6.8,-58.16,302.15,7.2
37,varberg,SE,Saudi Arabia,1555618582,0,70,57.11,12.25,283.15,2.6
38,clyde river,CA,Burundi,1555614000,20,70,70.47,-68.59,254.15,2.6
39,tuktoyaktuk,CA,Burundi,1555614000,75,78,69.44,-133.03,261.15,5.7
40,qaanaaq,GL,Gibraltar,1555618656,100,86,77.48,-69.36,249.4,1.73
41,hoyanger,NO,Niue,1555618565,0,61,61.22,6.07,283.71,4.1
42,cajabamba,EC,Dominican Republic,1555617600,40,46,-1.7,-78.77,296.15,5.1
43,hermanus,ZA,Yemen,1555618604,0,79,-34.42,19.24,291.48,0.89
44,caravelas,BR,Bouvet Island,1555618662,61,81,-17.73,-39.27,300.8,2.69
45,hithadhoo,MV,Mozambique,1555618663,100,73,-0.6,73.08,302,5.22
46,souillac,FR,Finland,1555618369,0,63,45.6,-0.6,292.15,0.5
47,flin flon,CA,Burundi,1555614000,20,41,54.77,-101.88,287.15,6.7
48,padang,ID,Iceland,1555618667,100,73,-0.92,100.36,301.7,3.57
49,talnakh,RU,Romania,1555617600,20,75,69.49,88.39,247.15,4
50,abu samrah,SY,Switzerland,1555618670,100,75,35.3,37.18,285.4,2.29
52,yellowknife,CA,Burundi,1555614177,75,80,62.45,-114.38,275.15,5.1
54,lazaro cardenas,MX,Mozambique,1555618562,20,25,28.39,-105.62,299.26,5.1
55,airai,TL,Timor-Leste,1555618676,0,68,-8.93,125.41,295.9,2.72
56,luderitz,NA,Myanmar,1555614000,0,87,-26.65,15.16,285.15,0.5
57,inayawan,PH,Peru,1555614000,20,83,10.27,123.86,299.15,1.54
58,pirgos,GR,Gibraltar,1555618596,20,55,35.12,25.72,289.15,7.7
59,arraias,BR,Bouvet Island,1555618682,65,74,-12.93,-46.94,298.9,0.63
60,los llanos de aridane,ES,Eritrea,1555618619,20,72,28.66,-17.92,291.15,6.7
61,esperance,TT,Trinidad and Tobago,1555618590,20,62,10.24,-61.45,303.71,7.7
62,charters towers,au,Aruba,1555618686,0,88,-20.07,146.27,291.7,3.69
63,kawalu,ID,Iceland,1555618687,100,94,-7.38,108.21,295.6,0.88
64,chokurdakh,RU,Romania,1555618689,100,88,70.62,147.9,258.5,9.71
65,new norfolk,au,Aruba,1555618635,20,87,-42.78,147.06,279.26,4.6
66,port hardy,CA,Burundi,1555615260,90,93,50.7,-127.42,282.15,2.6
67,bandar,ID,Iceland,1555618692,100,97,-4.2,104.14,296.6,0.92
68,mwanza,TZ,Tuvalu,1555618694,1,75,-2.52,32.9,295.5,3.23
69,busselton,au,Aruba,1555618554,68,96,-33.64,115.35,284.26,14.17
70,ushuaia,AR,Antigua and Barbuda,1555617600,40,74,-54.81,-68.31,276.15,6.2
71,tiksi,RU,Romania,1555618697,80,90,71.64,128.87,260.9,4.7
72,port lincoln,au,Aruba,1555618699,100,71,-34.72,135.86,294.1,7.57
73,avarua,CK,China,1555617600,100,100,-21.21,-159.78,298.15,1
74,ancud,CL,China,1555617600,0,67,-41.87,-73.83,287.15,4.6
76,atuona,PF,Peru,1555618704,48,75,-9.8,-139.03,301.8,4.62
77,college,US,United States of America,1555618446,90,79,64.86,-147.8,271.48,3.6
78,belle fourche,US,United States of America,1555618457,69,34,44.67,-103.85,286.48,10.8
79,pingliang,CN,China,1555618707,20,94,35.54,106.68,285.2,2.21
80,necochea,AR,Antigua and Barbuda,1555617689,100,41,-38.55,-58.74,301.48,2.24
81,honiara,SB,Saudi Arabia,1555617600,40,94,-9.43,159.96,297.15,1
82,scarborough,GB,Gambia,1555618526,77,93,54.28,-0.41,285.15,2.6
83,pisco,PE,Paraguay,1555618612,0,30,-13.71,-76.2,298.71,3.1
84,san quintin,PH,Peru,1555618714,0,80,17.54,120.52,298.6,0.99
85,aksu,KZ,Kyrgyzstan,1555617600,0,92,52.04,76.93,264.15,2
86,nikolskoye,RU,Romania,1555618537,0,55,59.7,30.79,277.59,2
87,mehamn,NO,Niue,1555617000,75,80,71.03,27.85,277.15,6.2
88,ribeira grande,PT,Portugal,1555615800,40,93,38.52,-28.7,290.15,2.6
89,komsomolskiy,RU,Romania,1555618720,100,94,67.55,63.78,271,5.39
90,champerico,MX,Mozambique,1555617000,40,30,16.38,-93.6,308.15,3.1
91,chumikan,RU,Romania,1555618723,100,85,54.72,135.31,267.5,4.16
93,coquimbo,CL,China,1555617600,75,67,-29.95,-71.34,290.15,5.1
94,katsuura,JP,Jordan,1555614000,40,82,33.93,134.5,286.15,1.5
95,labuan,BN,Bhutan,1555617600,75,89,5.28,115.24,302.15,0.5
96,tasiilaq,GL,Gibraltar,1555617000,75,80,65.61,-37.64,275.15,10.8
97,mantua,IT,Israel,1555618576,0,54,45.16,10.79,290.15,2.1
98,nome,US,United States of America,1555618711,75,73,30.04,-94.42,297.59,3.6
99,dikson,RU,Romania,1555618733,42,83,73.51,80.55,252.2,2.91
100,puerto ayora,EC,Dominican Republic,1555617697,40,70,-0.74,-90.35,303.15,6.7
101,verkhoyansk,RU,Romania,1555618735,0,85,67.55,133.39,257.2,1.58
102,santa cruz de la palma,ES,Eritrea,1555618619,20,72,28.68,-17.76,291.15,6.7
103,yulara,au,Aruba,1555617600,95,32,-25.24,130.99,292.15,2.1
105,cedar city,US,United States of America,1555618584,1,39,37.68,-113.06,290.15,2.1
106,marawi,PH,Peru,1555618504,54,88,8,124.29,297.04,1.79
107,bireun,ID,Iceland,1555618572,67,85,5.2,96.7,294.2,1.4
108,iqaluit,CA,Burundi,1555618374,90,85,63.75,-68.52,269.15,9.8
109,acapulco,MX,Mozambique,1555616640,5,74,16.86,-99.88,301.15,7.2
110,nyazepetrovsk,RU,Romania,1555618747,3,62,56.06,59.6,269.4,0.82
111,vardo,US,United States of America,1555618739,1,53,39.62,-77.74,298.15,6.2
113,kavieng,PG,Peru,1555618751,100,78,-2.57,150.8,300.5,1.74
