City ID,City,Cloudiness,Country,Date,Humidity (%),Latitude,Longitude,Max Temp (°F),Wind Speed (mph)
0,Rikitea,24,PF,1555345081,100,-23.12,-134.97,297.239,10.66
1,Ushuaia,40,AR,1555340400,61,-54.81,-68.31,282.15,2.6
2,Ponta Do Sol,92,BR,1555345083,95,-20.63,-46,294.889,3.31
4,Hermanus,48,ZA,1555345004,79,-34.42,19.24,290.93,1.91
5,Cape Town,20,ZA,1555344914,48,-33.93,18.42,291.48,6.7
6,Erzin,75,TR,1555344969,59,36.95,36.2,291.15,9.3
8,Mar Del Plata,56,AR,1555345055,55,-46.43,-67.52,287.639,9.86
9,Albany,90,US,1555344955,66,42.65,-73.75,285.15,9.3
10,Carnarvon,12,ZA,1555345093,26,-30.97,22.13,291.539,1.86
11,Ilulissat,75,GL,1555339800,86,69.22,-51.1,272.15,5.1
12,Rio Grande,20,BR,1555340400,54,-32.03,-52.1,300.15,7.2
13,Kiunga,76,PG,1555345097,92,-6.12,141.3,297.339,0.71
14,Daan,20,YE,1555345098,56,17,43.43,301.989,1.71
15,Temiscaming,90,CA,1555344616,67,46.72,-79.1,274.82,7.7
16,Aswan,88,EG,1555340400,16,24.09,32.9,307.15,2.6
17,Avarua,0,CK,1555344000,88,-21.21,-159.78,300.15,2.6
18,Veisiejai,75,LT,1555340400,21,54.1,23.7,283.15,5
19,Verkhniy Baskunchak,92,KZ,1555345108,59,48.23,46.72,291.339,6.61
20,Katobu,88,ID,1555345109,100,-4.94,122.53,299.589,1.71
21,Busselton,68,AU,1555344949,46,-33.64,115.35,291.48,11.36
22,Cairns,40,AU,1555344799,78,-16.92,145.77,297.15,3.6
23,Kapaa,90,US,1555344986,64,22.08,-159.32,296.15,9.8
25,North Bend,40,US,1555344966,87,43.41,-124.22,279.82,3.6
26,Severo-Kurilsk,76,RU,1555345116,95,50.68,156.12,272.689,2.36
27,Kaliganj,32,BD,1555345117,74,23.41,89.13,301.689,1.61
28,Kavaratti,0,IN,1555345118,99,10.57,72.64,303.739,2.41
29,Hobart,0,AU,1555345094,81,-42.88,147.33,288.15,3.1
30,Porvoo,0,FI,1555345052,34,60.4,25.66,284.26,3.6
31,Saskylakh,76,RU,1555345122,72,71.97,114.09,255.639,1.31
33,Buraydah,0,SA,1555344000,23,26.33,43.97,303.15,2.6
34,Springfield,1,US,1555345116,39,37.22,-93.29,292.15,3.6
35,Bredasdorp,12,ZA,1555344915,59,-34.53,20.04,290.15,2.1
